PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Cabildo Abierto,Rivera,49,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,50,HAB,Departamental,88,7,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,50,HAB,Departamental,1801,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,51,HAB,Departamental,88,6,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,51,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,51,HAB,Departamental,1801,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,51,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,52,HAB,Departamental,88,7,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,52,HAB,Departamental,1801,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,52,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,53,HAB,Departamental,88,5,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,53,HAB,Departamental,1801,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,54,HAB,Departamental,88,5,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,54,HAB,Departamental,2424,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,55,HAB,Departamental,88,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,55,HAB,Departamental,1801,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,55,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,56,HAB,Departamental,88,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,56,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,57,HAB,Departamental,88,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,57,HAB,Departamental,1801,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,57,HAB,Departamental,2424,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,58,HAB,Departamental,88,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,58,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,58,HAB,Departamental,1801,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,58,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,59,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,59,HAB,Departamental,1801,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,60,HAB,Departamental,88,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,60,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,60,HAB,Departamental,1801,4,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,60,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,61,HAB,Departamental,88,2,Rivera Chico - Saavedra - Cerro del Marco
