PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Cabildo Abierto,Paysandú,89,KCA,Departamental,1825,1,Zona Industrial
Cabildo Abierto,Paysandú,90,KCA,Departamental,1825,4,Zona Industrial
Cabildo Abierto,Paysandú,91,KCA,Departamental,710,1,Zona Industrial
Cabildo Abierto,Paysandú,92,KCA,Departamental,710,2,Zona Industrial
Cabildo Abierto,Paysandú,92,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,93,KCA,Departamental,710,1,Zona Industrial
Cabildo Abierto,Paysandú,94,KCA,Departamental,710,2,Zona Industrial
Cabildo Abierto,Paysandú,95,KCA,Departamental,710,1,Zona Industrial
Cabildo Abierto,Paysandú,95,KCA,Departamental,1510,1,Zona Industrial
Cabildo Abierto,Paysandú,95,KCA,Departamental,1825,1,Zona Industrial
Cabildo Abierto,Paysandú,96,KCA,Departamental,710,4,Zona Industrial
Cabildo Abierto,Paysandú,97,KCA,Departamental,1825,1,Zona Industrial
Cabildo Abierto,Paysandú,98,KCA,Departamental,710,2,Zona Industrial
Cabildo Abierto,Paysandú,98,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,99,KCA,Departamental,710,1,Zona Industrial
Cabildo Abierto,Paysandú,99,KCA,Departamental,1825,2,Zona Industrial
Cabildo Abierto,Paysandú,101,KCA,Departamental,710,1,Zona Industrial
Cabildo Abierto,Paysandú,102,KCA,Departamental,1825,1,Zona Industrial
Cabildo Abierto,Paysandú,103,KCA,Departamental,710,1,Zona Industrial
Cabildo Abierto,Paysandú,103,KCA,Departamental,1510,1,Zona Industrial
Cabildo Abierto,Paysandú,104,KCA,Departamental,710,1,Zona Industrial
Cabildo Abierto,Paysandú,104,KCA,Departamental,1510,2,Zona Industrial
Cabildo Abierto,Paysandú,105,KCA,Departamental,710,6,Zona Industrial
Cabildo Abierto,Paysandú,105,KCA,Departamental,1825,1,Zona Industrial
